SimUID,CROP,YR,ROT,FER,IRR,WTH,TIL,YLD_DM,FTN
52338,SGBT,2015,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,11.574,150.2
52338,SBAR,2016,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,5.793,123.5
52338,WWHT,2017,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,5.987,180.4
52338,WWHT,2018,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,6.3,180.4
52338,SGBT,2019,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,9.629,150.2
52338,SBAR,2020,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,4.153,123.5
52338,WWHT,2021,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,5.141,180.4
52338,WWHT,2022,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,6.84,180.4
52338,SGBT,2023,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,10.68,150.2
52338,SBAR,2024,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,5.327,123.5
52338,WWHT,2025,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,5.896,180.4
52338,WWHT,2026,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,6.552,180.4
52338,SGBT,2027,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,9.921,150.2
52338,SBAR,2028,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,6.233,123.5
52338,WWHT,2029,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,6.248,180.4
52338,WWHT,2030,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,6.599,180.4
52338,SGBT,2031,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,10.887,150.2
52338,SBAR,2032,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,5.923,123.5
52338,WWHT,2033,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,6.103,180.4
52338,WWHT,2034,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,6.808,180.4
52338,SGBT,2035,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,13.481,150.2
52338,SBAR,2036,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,6.156,123.5
52338,WWHT,2037,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,6.156,180.4
52338,WWHT,2038,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,6.127,180.4
52338,SGBT,2039,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,11.268,150.2
52338,SBAR,2040,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,6.072,123.5
52338,WWHT,2041,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,6.407,180.4
52338,WWHT,2042,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,6.467,180.4
52338,SGBT,2043,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,9.743,150.2
52338,SBAR,2044,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,6.099,123.5
52338,WWHT,2045,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,6.076,180.4
52338,WWHT,2046,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,6.682,180.4
52338,SGBT,2047,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,9.003,150.2
52338,SBAR,2048,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,6.769,123.5
52338,WWHT,2049,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,7.053,180.4
52338,WWHT,2050,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,6.545,180.4
52338,SGBT,2051,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,9.587,150.2
52338,SBAR,2052,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,5.573,123.5
52338,WWHT,2053,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,7.021,180.4
52338,WWHT,2054,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,6.911,180.4
52338,SGBT,2055,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,12.172,150.2
52338,SBAR,2056,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,5.633,123.5
52338,WWHT,2057,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,6.708,180.4
52338,WWHT,2058,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,5.768,180.4
52338,SGBT,2059,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,10.924,150.2
