"Date","Product","Min_Price","Max_Price","Avg_Price"
2007-03-05,"CAN",190,195,192.5
2007-04-02,"CAN",190,209.5,199.75
2007-05-07,"CAN",190,199,194.5
2007-06-04,"CAN",190,200,195
2007-07-02,"CAN",190,200,195
2007-08-06,"CAN",189,202.5,195.75
2007-09-03,"CAN",192.5,202.5,197.5
2007-10-01,"CAN",192.5,205,198.75
2007-11-05,"CAN",192.5,210,201.25
2007-12-03,"CAN",199,230,214.5
2008-01-07,"CAN",207.5,230,218.75
2008-02-04,"CAN",235,295,265
2008-03-03,"CAN",260,295,277.5
2008-04-07,"CAN",270,297.5,283.75
2008-05-05,"CAN",285,325,305
2008-06-02,"CAN",305,330,317.5
2008-07-07,"CAN",320,338,329
2008-08-04,"CAN",340,360,350
2008-09-01,"CAN",360,390,375
2008-10-06,"CAN",365,400,382.5
2008-11-03,"CAN",375,395,385
2008-12-01,"CAN",375,399,387
2009-01-05,"CAN",375,390,382.5
2009-01-19,"CAN",375,395,385
2009-02-02,"CAN",375,395,385
2009-02-16,"CAN",310,389,349.5
2009-03-02,"CAN",310,375,342.5
2009-03-16,"CAN",310,350,330
2009-04-06,"CAN",295,325,310
2009-04-20,"CAN",260,297.5,278.75
2009-05-04,"CAN",245,285,265
2009-05-18,"CAN",200,265,232.5
2009-06-01,"CAN",190,210,200
2009-06-15,"CAN",150,200,175
2009-07-06,"CAN",150,175,162.5
2009-07-20,"CAN",150,175,162.5
2009-08-03,"CAN",155,175,165
2009-08-17,"CAN",160,175,167.5
2009-09-07,"CAN",155,175,165
2009-09-21,"CAN",155,175,165
2009-10-05,"CAN",155,175,165
2009-10-19,"CAN",155,175,165
2009-11-02,"CAN",155,175,165
2009-11-16,"CAN",155,175,165
2009-12-07,"CAN",165,180,172.5
2009-12-21,"CAN",165,180,172.5
2010-01-04,"CAN",165,190,177.5
2010-01-18,"CAN",169,190,179.5
2010-02-01,"CAN",175,205,190
2010-02-15,"CAN",175,215,195
2010-03-01,"CAN",179,215,197
2010-03-15,"CAN",195,230,212.5
2010-04-05,"CAN",195,230,212.5
2010-04-19,"CAN",195,220,207.5
2010-05-03,"CAN",205,220,212.5
2010-05-17,"CAN",195,235,215
2010-06-07,"CAN",195,225,210
2010-06-21,"CAN",195,225,210
2010-07-05,"CAN",195,225,210
2010-07-19,"CAN",205,225,215
2010-08-02,"CAN",205,225,215
2010-08-16,"CAN",205,225,215
2010-09-06,"CAN",219,257.5,238.25
2010-09-20,"CAN",225,257.5,241.25
2010-10-04,"CAN",249,277.5,263.25
2010-10-18,"CAN",250,280,265
2010-11-01,"CAN",250,285,267.5
2010-11-15,"CAN",265,285,275
2010-12-06,"CAN",265,285,275
2010-12-20,"CAN",265,285,275
2011-01-03,"CAN",265,285,275
2011-01-17,"CAN",265,295,280
2011-02-07,"CAN",279,297.5,288.25
2011-02-21,"CAN",285,320,302.5
2011-03-07,"CAN",292,325,308.5
2011-03-21,"CAN",292,330,311
2011-04-04,"CAN",294,330,312
2011-04-18,"CAN",294,308,301
2011-05-02,"CAN",294,320,307
2011-05-16,"CAN",294,310,302
2011-06-06,"CAN",280,298,289
2011-06-20,"CAN",280,295,287.5
2011-07-04,"CAN",285,305,295
2011-07-18,"CAN",275,306,290.5
2011-08-01,"CAN",280,306,293
2011-08-15,"CAN",280,306,293
2011-09-05,"CAN",280,310,295
2011-09-19,"CAN",295,310,302.5
2011-10-03,"CAN",295,317,306
2011-10-17,"CAN",295,317,306
2011-11-07,"CAN",299,310,304.5
2011-11-21,"CAN",300,322,311
2011-12-05,"CAN",300,325,312.5
2011-12-19,"CAN",300,325,312.5
2012-01-02,"CAN",300,325,312.5
2012-01-16,"CAN",300,320,310
2012-02-06,"CAN",305,320,312.5
2012-02-20,"CAN",305,320,312.5
2012-03-05,"CAN",305,320,312.5
2012-03-19,"CAN",305,320,312.5
2012-04-02,"CAN",305,320,312.5
2012-04-16,"CAN",300,315,307.5
2012-05-07,"CAN",300,315,307.5
2012-05-21,"CAN",285,315,300
2012-06-04,"CAN",280,310,295
2012-06-18,"CAN",277.5,310,293.75
2012-07-02,"CAN",275,290,282.5
2012-07-16,"CAN",275,290,282.5
2012-08-06,"CAN",280,295,287.5
2012-08-20,"CAN",282.5,295,288.75
2012-09-03,"CAN",282.5,305,293.75
2012-09-17,"CAN",280,292,286
2012-10-01,"CAN",285,305,295
2012-10-15,"CAN",285,305,295
2012-11-05,"CAN",285,305,295
2012-11-19,"CAN",285,305,295
2012-12-03,"CAN",285,305,295
2012-12-17,"CAN",285,305,295
2013-01-07,"CAN",285,305,295
2013-01-21,"CAN",285,305,295
2013-02-04,"CAN",289,305,297
2013-02-18,"CAN",289,305,297
2013-03-04,"CAN",289,305,297
2013-03-18,"CAN",285,305,295
2013-04-01,"CAN",289,305,297
2013-04-15,"CAN",289,305,297
2013-05-06,"CAN",289,305,297
2013-05-20,"CAN",289,305,297
2013-06-03,"CAN",275,310,292.5
2013-06-17,"CAN",265,305,285
2013-07-01,"CAN",260,295,277.5
2013-07-15,"CAN",260,280,270
2013-08-05,"CAN",260,280,270
2013-08-19,"CAN",260,285,272.5
2013-09-02,"CAN",260,285,272.5
2013-09-16,"CAN",259,280,269.5
2013-10-07,"CAN",245,275,260
2013-10-21,"CAN",245,265,255
2013-11-04,"CAN",240,259,249.5
2013-11-18,"CAN",240,259,249.5
2013-12-02,"CAN",245,260,252.5
2013-12-16,"CAN",245,260,252.5
2014-01-06,"CAN",249,265,257
2014-01-20,"CAN",249,270,259.5
2014-02-03,"CAN",249,280,264.5
2014-02-17,"CAN",262,275,268.5
2014-03-03,"CAN",265,279,272
2014-03-17,"CAN",269,289,279
2014-04-07,"CAN",269,305,287
2014-04-21,"CAN",269,305,287
2014-05-05,"CAN",287.5,309,298.25
2014-05-19,"CAN",287.5,306,296.75
2014-06-02,"CAN",287.5,305,296.25
2014-06-16,"CAN",282.5,300,291.25
2014-07-07,"CAN",256,305,280.5
2014-07-21,"CAN",262.5,300,281.25
2014-08-04,"CAN",262.5,295,278.75
2014-08-18,"CAN",262.5,289,275.75
2014-09-01,"CAN",265,285,275
2014-09-15,"CAN",262.5,277.5,270
2014-10-06,"CAN",267.5,287.5,277.5
2014-10-20,"CAN",267.5,282,274.75
2014-11-03,"CAN",268,280,274
2014-11-17,"CAN",269,287,278
2014-12-01,"CAN",269,287,278
2014-12-15,"CAN",269,287,278
2015-01-05,"CAN",272.5,287,279.75
2015-01-19,"CAN",279,295,287
2015-02-02,"CAN",277.5,299.5,288.5
2015-02-16,"CAN",282.5,305,293.75
2015-03-02,"CAN",280,305,292.5
2015-03-16,"CAN",285,303.5,294.25
2015-04-06,"CAN",285,305,295
2015-04-20,"CAN",285,310,297.5
2015-05-04,"CAN",285,310,297.5
2015-05-18,"CAN",280,312.5,296.25
2015-06-01,"CAN",272.5,310,291.25
2015-06-15,"CAN",265,287,276
2015-07-06,"CAN",260,289,274.5
2015-07-20,"CAN",265,285,275
2015-08-03,"CAN",265,285,275
2015-08-17,"CAN",260,279,269.5
2015-09-07,"CAN",259,275,267
2015-09-21,"CAN",259,285,272
2015-10-05,"CAN",259,280,269.5
2015-10-19,"CAN",265,285,275
2015-11-02,"CAN",265,275,270
2015-11-16,"CAN",265,285,275
2015-12-07,"CAN",265,285,275
2015-12-21,"CAN",265,290,277.5
2016-01-04,"CAN",259,295,277
2016-01-18,"CAN",265,295,280
2016-02-01,"CAN",260,295,277.5
2016-02-15,"CAN",259,295,277
2016-03-07,"CAN",259,290,274.5
2016-03-21,"CAN",259,285,272
2016-04-04,"CAN",255,285,270
2016-04-18,"CAN",250,275,262.5
2016-05-02,"CAN",240,275,257.5
2016-05-16,"CAN",225,265,245
2016-06-06,"CAN",197.5,265,231.25
2016-06-20,"CAN",177.5,209,193.25
2016-07-04,"CAN",177.5,209,193.25
2016-07-18,"CAN",177.5,209,193.25
2016-08-01,"CAN",177.5,199,188.25
2016-08-15,"CAN",177.5,199,188.25
2016-09-05,"CAN",177.5,199,188.25
2016-09-19,"CAN",177.5,199,188.25
2016-10-03,"CAN",177.5,199,188.25
2016-10-17,"CAN",177.5,199,188.25
2016-11-07,"CAN",177.5,199,188.25
2016-11-21,"CAN",177.5,199,188.25
2016-12-05,"CAN",187.5,209,198.25
2016-12-19,"CAN",180,215,197.5
2017-01-02,"CAN",180,218,199
2017-01-16,"CAN",195,225,210
2017-02-06,"CAN",205,227.5,216.25
2017-02-20,"CAN",210,238,224
2017-03-06,"CAN",215,239,227
2017-03-20,"CAN",225,249,237
2017-04-03,"CAN",225,249,237
2017-04-17,"CAN",227.5,250,238.75
2017-05-01,"CAN",219,245,232
2017-05-15,"CAN",199,240,219.5
2017-06-05,"CAN",189,209,199
2017-06-19,"CAN",189,209,199
2017-07-03,"CAN",190,205,197.5
2017-07-17,"CAN",190,205,197.5
2017-08-07,"CAN",192.5,204,198.25
2017-08-21,"CAN",185,204,194.5
