"Date","Product","Min_Price","Max_Price","Avg_Price"
2000-01-03,"Bread_Wheat",114,117.6,115.8
2000-01-10,"Bread_Wheat",114,117.6,115.8
2000-01-17,"Bread_Wheat",114,120.2,117.1
2000-01-24,"Bread_Wheat",114,120.2,117.1
2000-01-31,"Bread_Wheat",114,120.2,117.1
2000-02-07,"Bread_Wheat",114,121.4,117.7
2000-02-14,"Bread_Wheat",114,121.4,117.7
2000-02-21,"Bread_Wheat",112.5,121.4,116.95
2000-02-28,"Bread_Wheat",112.5,121.4,116.95
2000-03-06,"Bread_Wheat",113.8,124,118.9
2000-03-13,"Bread_Wheat",113.8,124,118.9
2000-03-20,"Bread_Wheat",113.8,124,118.9
2000-03-27,"Bread_Wheat",113.8,124,118.9
2000-04-03,"Bread_Wheat",115,126.5,120.75
2000-04-10,"Bread_Wheat",115,126.5,120.75
2000-04-17,"Bread_Wheat",115,126.5,120.75
2000-04-24,"Bread_Wheat",115,126.5,120.75
2000-05-01,"Bread_Wheat",115,126.5,120.75
2000-05-08,"Bread_Wheat",120.2,129.1,124.65
2000-05-15,"Bread_Wheat",120.2,129.1,124.65
2000-05-22,"Bread_Wheat",120.2,129.1,124.65
2000-05-29,"Bread_Wheat",120.2,129.1,124.65
2000-06-05,"Bread_Wheat",125.3,129.1,127.2
2000-06-12,"Bread_Wheat",124,125.3,124.65
2000-06-19,"Bread_Wheat",NA,NA,NA
2000-06-26,"Bread_Wheat",NA,NA,NA
2000-07-03,"Bread_Wheat",NA,NA,NA
2000-07-17,"Bread_Wheat",NA,NA,NA
2000-07-31,"Bread_Wheat",NA,NA,NA
2000-08-07,"Bread_Wheat",NA,NA,NA
2000-08-14,"Bread_Wheat",NA,NA,NA
2000-08-21,"Bread_Wheat",NA,NA,NA
2000-08-28,"Bread_Wheat",97.1,104.8,100.95
2000-09-04,"Bread_Wheat",97.1,104.8,100.95
2000-09-11,"Bread_Wheat",97.1,104.8,100.95
2000-09-18,"Bread_Wheat",97.1,104.8,100.95
2000-09-25,"Bread_Wheat",104.8,107.4,106.1
2000-10-02,"Bread_Wheat",106.1,107.4,106.75
2000-10-09,"Bread_Wheat",106.1,108.6,107.35
2000-10-16,"Bread_Wheat",107.4,109.9,108.65
2000-10-23,"Bread_Wheat",107.4,109.9,108.65
2000-10-30,"Bread_Wheat",107.4,109.9,108.65
2000-11-06,"Bread_Wheat",107.4,111.2,109.3
2000-11-13,"Bread_Wheat",107.4,111.2,109.3
2000-11-20,"Bread_Wheat",108.6,111.2,109.9
2000-11-27,"Bread_Wheat",109.9,111.2,110.55
2000-12-04,"Bread_Wheat",109.9,112.5,111.2
2000-12-11,"Bread_Wheat",111.2,117.6,114.4
2000-12-18,"Bread_Wheat",111.2,117.6,114.4
2000-12-25,"Bread_Wheat",111.2,117.6,114.4
2001-01-01,"Bread_Wheat",111.2,117.6,114.4
2001-01-08,"Bread_Wheat",111.2,117.6,114.4
2001-01-15,"Bread_Wheat",111.2,117.6,114.4
2001-01-22,"Bread_Wheat",112.5,117.6,115.05
2001-01-29,"Bread_Wheat",112.5,117.6,115.05
2001-02-05,"Bread_Wheat",112.5,117.6,115.05
2001-02-12,"Bread_Wheat",112.5,117.6,115.05
2001-02-19,"Bread_Wheat",112.5,117.6,115.05
2001-02-26,"Bread_Wheat",112.5,117.6,115.05
2001-03-05,"Bread_Wheat",112.5,117.6,115.05
2001-03-12,"Bread_Wheat",112.5,115,113.75
2001-03-19,"Bread_Wheat",111.2,116.3,113.75
2001-03-26,"Bread_Wheat",111.2,116.3,113.75
2001-04-02,"Bread_Wheat",109.9,116.3,113.1
2001-04-09,"Bread_Wheat",109.9,116.3,113.1
2001-04-16,"Bread_Wheat",109.9,116.3,113.1
2001-04-23,"Bread_Wheat",109.9,116.3,113.1
2001-04-30,"Bread_Wheat",109.9,116.3,113.1
2001-05-07,"Bread_Wheat",109.9,117.6,113.75
2001-05-14,"Bread_Wheat",109.9,117.6,113.75
2001-05-21,"Bread_Wheat",112.5,117.6,115.05
2001-05-28,"Bread_Wheat",112.5,117.6,115.05
2001-06-04,"Bread_Wheat",112.5,117.6,115.05
2001-06-11,"Bread_Wheat",112.5,117.6,115.05
2001-06-18,"Bread_Wheat",112.5,117.6,115.05
2001-06-25,"Bread_Wheat",112.5,117.6,115.05
2001-07-02,"Bread_Wheat",NA,NA,NA
2001-07-09,"Bread_Wheat",NA,NA,NA
2001-07-16,"Bread_Wheat",NA,NA,NA
2001-07-23,"Bread_Wheat",NA,NA,NA
2001-07-30,"Bread_Wheat",104.8,107.4,106.1
2001-08-06,"Bread_Wheat",104.8,104.8,104.8
2001-08-13,"Bread_Wheat",NA,104.8,NA
2001-08-20,"Bread_Wheat",NA,104.8,NA
2001-08-27,"Bread_Wheat",NA,104.8,NA
2001-09-03,"Bread_Wheat",NA,104.8,NA
2001-09-10,"Bread_Wheat",NA,104.8,NA
2001-09-17,"Bread_Wheat",104.8,104.8,104.8
2001-09-24,"Bread_Wheat",104.8,106.9,105.85
2001-10-01,"Bread_Wheat",104.8,106.1,105.45
2001-10-08,"Bread_Wheat",104.8,106.1,105.45
2001-10-15,"Bread_Wheat",103.5,106.1,104.8
2001-10-22,"Bread_Wheat",103.5,111.2,107.35
2001-10-29,"Bread_Wheat",103.5,111.2,107.35
2001-11-05,"Bread_Wheat",104.8,111.2,108
2001-11-12,"Bread_Wheat",104.8,112.5,108.65
2001-11-19,"Bread_Wheat",106.1,112.5,109.3
2001-11-26,"Bread_Wheat",106.1,112.5,109.3
2001-12-03,"Bread_Wheat",106.1,112.5,109.3
2001-12-10,"Bread_Wheat",106.1,112.5,109.3
2001-12-17,"Bread_Wheat",106.1,115,110.55
2001-12-24,"Bread_Wheat",NA,NA,NA
2001-12-31,"Bread_Wheat",106.1,115,110.55
2002-01-07,"Bread_Wheat",107.3,115,111.15
2002-01-14,"Bread_Wheat",107.3,115,111.15
2002-01-21,"Bread_Wheat",107.3,115,111.15
2002-01-28,"Bread_Wheat",107.3,115,111.15
2002-02-04,"Bread_Wheat",107.3,115,111.15
