year,month,week,spotP,futuresP,TTM,BS,openning,max,min,closing
1980,1,1,5.8,6.43,2,-0.63,6.45,6.49,6.4,6.43
1980,1,2,5.53,6.28,1,-0.75,6.15,6.3,6.15,6.28
1980,1,3,5.84,6.47,0,-0.63,6.41,6.53,6.39,6.47
1980,1,4,5.89,6.59,8,-0.7,6.6,6.65,6.55,6.59
1980,1,5,5.95,6.66,7,-0.72,6.67,6.71,6.62,6.66
1980,2,6,6.05,6.77,6,-0.71,6.76,6.83,6.73,6.77
1980,2,7,5.96,6.65,5,-0.69,6.69,6.71,6.63,6.65
1980,2,8,5.79,6.42,4,-0.63,6.45,6.47,6.39,6.42
1980,2,9,5.8,6.38,3,-0.58,6.39,6.44,6.36,6.38
1980,3,10,5.8,6.36,2,-0.56,6.38,6.41,6.34,6.36
1980,3,11,5.64,6.19,1,-0.55,6.21,6.23,6.16,6.19
1980,3,12,5.58,6.17,0,-0.6,6.19,6.21,6.16,6.17
1980,3,13,5.35,6.06,7,-0.71,6.11,6.13,6.03,6.06
1980,3,14,5.14,5.83,6,-0.68,5.84,5.89,5.76,5.83
1980,4,15,5.27,5.93,5,-0.65,5.92,5.97,5.89,5.93
1980,4,16,5.36,5.96,4,-0.6,5.94,5.99,5.91,5.96
1980,4,17,5.49,5.99,3,-0.5,5.97,6.04,5.95,5.99
1980,4,18,5.47,5.94,2,-0.46,5.94,5.98,5.91,5.94
1980,5,19,5.67,6.13,1,-0.46,6.1,6.17,6.07,6.13
1980,5,20,5.57,6.08,0,-0.5,6.09,6.13,6.04,6.08
1980,5,21,5.63,6.22,8,-0.59,6.19,6.24,6.17,6.22
1980,5,22,5.64,6.28,7,-0.64,6.3,6.32,6.26,6.28
1980,6,23,5.53,6.17,6,-0.64,6.18,6.21,6.14,6.17
1980,6,24,5.6,6.24,5,-0.64,6.22,6.26,6.2,6.24
1980,6,25,5.7,6.33,4,-0.63,6.32,6.38,6.3,6.33
1980,6,26,5.89,6.52,3,-0.63,6.48,6.53,6.46,6.52
