year,payoff,discounted_payoff,spot_cost,contract_cost
2009,0.665,0.6533100069760174,3.425,2.76
2010,0,0,1.97,1.97
2011,0.3250000000000002,0.31928684551459513,3.085,2.76
2012,0.3650000000000002,0.3585836880394684,3.125,2.76
2013,0.2100000000000004,0.20630842325558485,2.97,2.76
2014,0,0,2.72,2.72
2015,0.16500000000000004,0.16209947541510208,2.925,2.76
2016,0,0,2.745,2.745
2017,0,0,2.27,2.27
2018,0,0,2.225,2.225
2019,0,0,2.425,2.425
2020,0,0,2.27,2.27
2021,0,0,2.345,2.345
2022,4.01,3.939508463118541,6.77,2.76
2023,2.075,2.038523705977799,4.835,2.76
2024,0.5250000000000004,0.5157710581389614,3.285,2.76
2025,1.245,1.2231142235866792,4.005,2.76
