"part","term","statistic","VAR","0.1","0.3","0.5","0.7","0.9"
"estimates","(Intercept)","estimate","0.000","-0.033***","-0.009***","0.000","0.008***","0.029***"
"estimates","(Intercept)","std.error","(0.002)","(0.003)","(0.002)","(0.001)","(0.002)","(0.004)"
"estimates","f_p1","estimate","0.228***","0.391***","0.307***","0.261***","0.238***","0.171*"
"estimates","f_p1","std.error","(0.049)","(0.029)","(0.044)","(0.031)","(0.059)","(0.097)"
"estimates","w_p1","estimate","0.103***","-0.041","0.046**","0.032***","0.051","0.067"
"estimates","w_p1","std.error","(0.040)","(0.092)","(0.023)","(0.012)","(0.044)","(0.067)"
"gof","Num.Obs.","","396","396","396","396","396","396"
"gof","R2","","0.072","-0.405","0.028","0.063","0.042","-0.256"
"gof","R2 Adj.","","0.067","","","","",""
"gof","AIC","","-1260.5","-1220.3","-1553.3","-1639.7","-1548.5","-1174.6"
"gof","BIC","","-1244.6","-1208.4","-1541.4","-1627.7","-1536.5","-1162.6"
"gof","Log.Lik.","","634.258","","","","",""
"gof","F","","15.197","","","","",""
"gof","RMSE","","0.05","0.06","0.05","0.05","0.05","0.06"
