"part","term","statistic","VAR","0.1","0.3","0.5","0.7","0.9"
"estimates","(Intercept)","estimate","0.001","-0.047***","-0.016***","0.000","0.016***","0.048***"
"estimates","(Intercept)","std.error","(0.003)","(0.004)","(0.002)","(0.002)","(0.002)","(0.004)"
"estimates","f_p1","estimate","0.108*","0.136","0.079","0.082*","0.052","0.026"
"estimates","f_p1","std.error","(0.061)","(0.125)","(0.055)","(0.048)","(0.078)","(0.080)"
"estimates","w_p1","estimate","-0.185***","0.033","0.156**","0.134***","0.087***","-0.015"
"estimates","w_p1","std.error","(0.050)","(0.113)","(0.067)","(0.025)","(0.017)","(0.118)"
"gof","Num.Obs.","","396","396","396","396","396","396"
"gof","R2","","0.040","-0.613","-0.153","-0.061","-0.098","-0.567"
"gof","R2 Adj.","","0.035","","","","",""
"gof","AIC","","-1086.0","-1052.0","-1306.3","-1359.7","-1292.9","-1009.5"
"gof","BIC","","-1070.1","-1040.0","-1294.4","-1347.7","-1280.9","-997.5"
"gof","Log.Lik.","","547.004","","","","",""
"gof","F","","8.146","","","","",""
"gof","RMSE","","0.06","0.08","0.07","0.06","0.07","0.08"
