"part","term","statistic","VAR","0.1","0.3","0.5","0.7","0.9"
"estimates","(Intercept)","estimate","0.001","-0.031***","-0.008***","0.000","0.009***","0.028***"
"estimates","(Intercept)","std.error","(0.002)","(0.005)","(0.002)","(0.002)","(0.002)","(0.006)"
"estimates","f_p1","estimate","0.423***","0.630***","0.408***","0.355***","0.303***","0.195"
"estimates","f_p1","std.error","(0.060)","(0.197)","(0.072)","(0.045)","(0.111)","(0.368)"
"estimates","w_p1","estimate","0.109***","0.013","0.019","0.008","0.097","0.242**"
"estimates","w_p1","std.error","(0.038)","(0.105)","(0.021)","(0.034)","(0.061)","(0.096)"
"estimates","f_ps1","estimate","-0.723***","-2.284","-0.637","-0.574","-0.527","-0.072"
"estimates","f_ps1","std.error","(0.138)","(8.590)","(1.143)","(0.869)","(0.663)","(3.066)"
"estimates","w_ps1","estimate","0.134","0.104","0.040","0.037","0.155","1.064"
"estimates","w_ps1","std.error","(0.084)","(0.651)","(0.042)","(0.073)","(0.458)","(1.296)"
"gof","Num.Obs.","","396","396","396","396","396","396"
"gof","R2","","0.139","-0.716","0.086","0.117","0.106","-0.588"
"gof","R2 Adj.","","0.130","","","","",""
"gof","AIC","","-1286.2","-1339.0","-1593.0","-1661.3","-1559.4","-1207.2"
"gof","BIC","","-1262.3","-1319.1","-1573.1","-1641.4","-1539.5","-1187.3"
"gof","Log.Lik.","","649.105","","","","",""
"gof","F","","15.760","","","","",""
"gof","RMSE","","0.05","0.07","0.05","0.05","0.05","0.06"
