"part","term","statistic","VAR","0.1","0.3","0.5","0.7","0.9"
"estimates","(Intercept)","estimate","-0.001","-0.045***","-0.015***","0.000","0.015***","0.045***"
"estimates","(Intercept)","std.error","(0.003)","(0.007)","(0.005)","(0.003)","(0.005)","(0.008)"
"estimates","f_p1","estimate","0.096","0.204","0.101","0.127*","0.063","0.032"
"estimates","f_p1","std.error","(0.074)","(0.200)","(0.067)","(0.075)","(0.071)","(0.311)"
"estimates","w_p1","estimate","-0.162***","0.176","0.187*","0.125","0.144*","0.164"
"estimates","w_p1","std.error","(0.047)","(0.130)","(0.099)","(0.106)","(0.077)","(0.250)"
"estimates","f_ps1","estimate","-0.018","-0.123","-0.037","-0.109","-0.059","-0.038"
"estimates","f_ps1","std.error","(0.170)","(3.915)","(1.790)","(1.002)","(3.293)","(4.473)"
"estimates","w_ps1","estimate","0.662***","-0.452","-0.555","0.086","1.511*","1.474"
"estimates","w_ps1","std.error","(0.103)","(0.539)","(1.389)","(2.134)","(0.814)","(2.229)"
"gof","Num.Obs.","","396","396","396","396","396","396"
"gof","R2","","0.131","-0.871","-0.414","-0.032","-0.198","-0.727"
"gof","R2 Adj.","","0.122","","","","",""
"gof","AIC","","-1121.6","-1067.9","-1317.0","-1357.5","-1326.2","-1126.3"
"gof","BIC","","-1097.8","-1048.0","-1297.1","-1337.6","-1306.3","-1106.4"
"gof","Log.Lik.","","566.820","","","","",""
"gof","F","","14.768","","","","",""
"gof","RMSE","","0.06","0.08","0.07","0.06","0.07","0.08"
