"part","term","statistic","VAR","0.1","0.3","0.5","0.7","0.9"
"estimates","(Intercept)","estimate","-0.000","-0.096***","-0.026***","0.000","0.023***","0.091***"
"estimates","(Intercept)","std.error","(0.011)","(0.016)","(0.004)","(0.003)","(0.005)","(0.011)"
"estimates","f_p1","estimate","0.252***","0.362***","0.328***","0.312***","0.303***","0.274***"
"estimates","f_p1","std.error","(0.047)","(0.089)","(0.050)","(0.030)","(0.053)","(0.026)"
"estimates","w_p1","estimate","0.485***","0.056","0.086***","0.056***","0.099**","0.223*"
"estimates","w_p1","std.error","(0.094)","(0.083)","(0.026)","(0.010)","(0.038)","(0.130)"
"gof","Num.Obs.","","396","396","396","396","396","396"
"gof","R2","","0.137","-0.089","0.081","0.090","0.090","-0.037"
"gof","R2 Adj.","","0.133","","","","",""
"gof","AIC","","-88.1","-136.7","-557.2","-651.9","-550.9","-104.8"
"gof","BIC","","-72.1","-124.8","-545.3","-640.0","-539.0","-92.8"
"gof","Log.Lik.","","48.037","","","","",""
"gof","F","","31.232","","","","",""
"gof","RMSE","","0.21","0.24","0.22","0.22","0.22","0.23"
