"part","term","statistic","Yield function","Variation function"
"estimates","(Intercept)","estimate","-0.464**","0.087"
"estimates","(Intercept)","std.error","(0.205)","(0.116)"
"estimates","sqrt(FTN)","estimate","0.284***","0.081***"
"estimates","sqrt(FTN)","std.error","(0.049)","(0.025)"
"estimates","FTN","estimate","0.026***","-0.003**"
"estimates","FTN","std.error","(0.003)","(0.001)"
"estimates","irr","estimate","0.118*","-0.053"
"estimates","irr","std.error","(0.069)","(0.039)"
"estimates","til_min_cons","estimate","-1.596***","-0.040"
"estimates","til_min_cons","std.error","(0.072)","(0.044)"
"estimates","til_contill_r00","estimate","1.013***","-0.243***"
"estimates","til_contill_r00","std.error","(0.061)","(0.035)"
"estimates","til_contill_r30","estimate","0.632***","-0.042"
"estimates","til_contill_r30","std.error","(0.093)","(0.051)"
"estimates","til_contill_r60","estimate","0.407**","0.226***"
"estimates","til_contill_r60","std.error","(0.167)","(0.062)"
"estimates","til_contill_r90","estimate","0.030","0.355***"
"estimates","til_contill_r90","std.error","(0.196)","(0.075)"
"gof","Num.Obs.","","1609","1609"
"gof","R2","","0.864","0.098"
"gof","R2 Adj.","","0.863","0.093"
"gof","RMSE","","1.06","0.73"
